id,abstract
47166,白晓常 很 无奈 一场 突如其来 的 车祸 让 她 来到 传说 中 的 地府 被 人 连蒙带 骗 当上 了 白无常 签 的 还是 一百年 长约 开始 了 快 穿 不 勾魂 生涯 白晓常 很 郁闷 她 的 工作 伙伴 黑无常 黑土 各种 干扰 她 不是 把 她 扔 到 河里 就是 把 她 快要 勾到 魂 的 妹子 用 美色 诱惑 走 作为 一个 合格 的 白无常 她 下 得 了 水沟 逛得 了 青楼 当得 了 奸商 卖得 了 萌 美少年 快到 我 碗 里 来 少女 什么 的 你 别 走 啊 喂 等等 这个 工作 伙伴 怎么 还 把 她 按 在 塌 上 某 黑土 小白累 了 吧 你 躺 着 我 来 
47168,这是 关于 一个 长生不老 的 男人 跨越 两千年 的 故事 在 每 一段 历史 的 角落里 都 曾经 留下 过 他 的 名字 他 曾经 是 一些 人 心中 的 噩梦 也 曾经 把 一些 被 噩梦 困扰 着 的 人们 唤醒 故事 的 开始 他 的 名字 叫做 吴勉 故事 的 结局 他 的 名字 叫做 无敌 
47169,我妈 在 生 我 的 时候 被 野兽 叼 走 十二年 后 我 爸带 回来 一个 女人 这个 女人 居然 对 我 等 更新 的 书友 可以 看 我 的 280 万字 完结 老书算 死命 
47170,火爆 免费 新书 孤儿 林修 五年 仙岛 学艺 妙手 医术 除病 治人 至 强 仙术 捉 鬼 降妖 从 微末 崛起 迎战 人间 六道 圣尊 走上 至强 巅峰 
47171,火爆 免费 右手 桃木 剑 左手 金钱 剑 身披 金甲 圣衣 脚踏 黄金 追云靴 肉体 拼 原子弹 杀 尽 一切 鬼怪 试问 苍茫 宇宙 谁 捉 鬼 最 牛 逼 茅山 终极 捉 鬼 人 第一 妖气 缠身 的 绝美 校花 魅 妖 美狐女 总裁 小鬼 缠身 的 女明星 猛鬼 出笼 僵尸 吐珠 百鬼 夜行 茅山 神术 一路 全收龙 哥哥 人家 胸口 好痛 好像 鬼 上身 了 你 给 人家 治治 嘛 清纯 女明星 抛媚 放电 小弟弟 姐姐 头好 晕 啊 我 要 晕倒 了 你 可 不能 对 姐姐 做 坏事 呀 冷艳 女 总裁 身材 火爆 翘首以待 哼 林龙 今晚 哪里 也 不许 去 你 可 答应 陪 我 在 房间 谈 理想 聊 人生 的 俏皮 绝美 
47172,一把 桃木 剑 一个 罗盘 一把 朱砂 斗 恶鬼 捉 僵尸 茅山 遗孤 修炼 传承 道法 在 走 风云 江湖 群号 327812766 不 喜欢 企鹅 的 可以 先进 来拉微 信群 
47173,不是 你 的 东西 千万 不要 拿 这 是 血淋淋 的 教训 可是 我 拿 了 之后 
47175,我 从小 睡 在 棺材 里 六岁 的 时候 一条 蛇 溜 了 进来 她 在 棺材 里 陪 了 我 六年 到 十二岁 那年 她 把 我 从 男孩 变成 了 男人 
47178,火爆 新书 都市 灯红酒绿 但是 妖魔 食 人 阴影 之下 几乎 每日 有人 消失 正如 当年 震惊全国 的 僵尸 事件 以及 猫 老太太 然而 人乃万灵 之长 妖魔 食 人 自然 也 有 降妖 伏魔者 出世 全 真正 一 高僧 世家 门派 白天 他们 各司其职 夜晚 他们 斩妖 除魔 且 看 偶得 阴阳师 传承 的 林凡 如何 驾驭 飞剑 震慑 三界 
47179,法爷 为何 修真地 精因何 舞光 剑 凝聚 神格 四 九天 劫 = What 自晶壁 破裂 轮回 殿 坠落 物质 位面 以来 恶魔 猖獗 天下 纷争 魔鬼 亡灵 巨龙 接踵 而起 诸神 失格 苍生涂炭 主位 面有 累卵之危 生灵 有 倒悬之急 值此 危难 之际 轮回 开启 筛选 适格者 穿梭 时空 接受 试炼 幸存者 携异界 之力 重返 主 世界 狩猎 邪恶 采补 魅魔 征服 巨龙 夺取 神格 从此 魔法 不再 唯一 原力 圣衣 替身使者 恶魔 果实 流入 主 世界 文明 体系 开始 变革 无数 法爷 怒 摔 魔杖 仰天 咆哮 壮怀激烈 魔法 女神 你 个 碧池 法术 位坑 死 偶 嘞 教练 我 不 搓 火球 了 我 TM 要修 
47182,已 完结 大师 说 我 天生 至阴 体质 易 招鬼 我 不信邪 结果 18 岁 生日 一过 竟 招来 一个 身份 尊贵 的 冥界 亲王 从此以后 过上 了 被 亲王 殿下 树咚 壁咚 夜夜 咚 的 凄惨 日子 老公 你 不 在家 我 心里 空落落 的 亲王 殿下 邪 魅一笑 是 心里 空落落 的 还是 身体 空落落 的 这 是 一个千年 帅鬼 诱拐 18 岁 少女 一路 捉 鬼 打怪 撒狗 粮秀 恩爱 的 故事 甜宠 男女 主角 身心 干净 生生世世 不离 不弃 
47183,死灵 渊镇 鬼 墓 苗疆 巫 蛊 奇异 怪谈 也 没 拦住 我 黑道 白 道 不敢 惹 我艳鬼 恶鬼 冤鬼 见 我 统统 绕路 走 阴兵 鬼差 鬼 将 也 要 和 我 称兄道弟 不 为 别的 只 因为 我 是 这 阳间 的 阴使 专管 这 世上 不平 之 事 
47184,学校 后面 有 一个 废弃 教学楼 经常 有人 在 里面 失踪 但 只要 出来 的 人 都 能 一夜 暴富 我 偶然之间 进去 了 破旧 的 教学楼 昏暗 的 教室 还有 一个 穿着 校服 手 拿 匕首 满身是血 的 女人 我 出不来 了 
47185,帅哥 加个 微信 呗 美女 你 快 走 吧 我 老婆 就 在 旁边 瞪 你 呢 帅哥 真会 说 笑 旁边 哪 有人 傅洋叹 了 口气 她 是 阴司 的 鬼王 你 当然 看不见 啊 傅洋 很 无奈 老婆 是 鬼王 绝色 艳无双 偏偏 爱 吃醋 且 看 他 如何 痛 并 快乐 着 的 抓 鬼 捉妖 一路 恐怖 一路 爆笑 每天 保底 三 更 舵主 打赏 加一 更 堂主 打赏加 两 更 以此类推 盟主 打赏 加十 更 
47186,我 不当 鬼帝 因为 我 怕鬼 别人 装逼靠 拼爹 而 我 就 很 灵性 了 我 靠 上辈子 拯救 了 世界 陈一凡 上辈子 是 一个 牛 逼 哄哄 的 大 修士 因为 拯救 了 世界 功德无量 天道 特赐 补 空缺 的 酆 都 大帝 一职 然而 他 挂 了 上任 的 当天 就 挂 了 残魂 转生 为 一名 胆小如鼠 十分 怕鬼 的 凡人 因为 怕鬼 地府 的 阎王 老爷 们 每次 给 他 托梦 都 以 一团糟 收场 直到 他 16 岁 那年 阎王 们 终于 把 呕心沥血 合力 制造 的 鬼帝 养成 系统 送到 了 陈一凡 手中 从此 怕鬼 的 陈一凡 走上 了 一条 不得不 与 鬼怪 们 亲密 接触 的 道路 
47187,你们 穿 寿衣 睡过 觉 吗 从 死 人 身上 脱下来 的 那种 借 阴寿 第二部 货真价实 更新 最快 认准 黑岩 网 新浪 微博 作者 五斗 米 完本 老书 借 阴寿 
47188,重生 虐渣 1v1 灵异 言情 墨庭渊 我 要 和 你 离婚 理由 你 丑 墨庭渊凤眸 微眯有 胆子 再 给 我 说 一遍 老公 你好 帅 你 才 知道 苏 温柔 重生 一世 苏 温暖 带 着 仇恨 而 归 可 却 招惹 上 一个 霸道 男鬼 想 复仇 男人 一声令下 仇人 全部 死光 所以 还 复个 毛线 仇 他 帝国 总裁 权利 大 的 只手遮天 外界 称之为 最 薄情 的 男人 他 不近 女色 怼 人 从不 留情 出门 必带 面具 所以 至今 为止 没人见 过 他 真实 容颜 有人 说 他 英俊 邪 魅 也 有人 说 他 丑陋 不堪 如同 鬼魅 苏 温暖 两者 都 不信 所以 某 一天 入夜 苏 温暖 将 她 的 爪子 伸 
47189,本书 简介 种田 宠文 商战 空间 双强 腹黑 1 \u3000 无忧 很 郁闷 因为 在 地摊 上 买 了 一个 假货 被 一个 天大 机缘 砸 中 \u3000 穿越 就 穿越 别人 穿越 不是 公主 就是 皇后 王妃 她 却 穿越 成小萝莉 一枚 家里 穷得 揭不开锅 还 摊 上 几个 极品 亲戚 每天 为了 点 鸡毛蒜皮 的 小事 闹 得 鸡飞狗跳 吃不饱 穿 不 暖 还要 受些 窝囊气 \u3000 \u3000 幸好 家里 的 人 都 是 好 的 温柔 的 母亲 儒雅 的 父亲 聪慧 的 大哥 英勇 的 二哥 精明 的 三哥 坚强 的 四姐 可爱 包子 小哥 外加 小萝莉 女主 一枚 顺便 附赠 一枚 药田 空间 看 一家 大小 分工合作 齐心协力 打造 一片 盛世 田园 创造 一个 悠 
47190,与众不同 的 诡异 客栈 赶尸 家族 的 断命 诅咒 绝色 女鬼 的 一片 深情 让 人 战栗 的 十三 血尸 赶尸 客栈 通往 灵异 世界 之 门 
47192,我 刚出生 的 时候 喝 了 几天 狼奶 我 把 这头 狼 当妈 我 以为 我 一辈子 见 不到 她 直到 有 一个 女人 过来 找 我 
47193,道家 门徒 周凤尘会 画符 会 念咒 会 轻功 会 分身 走出 大山 闯 都市 武林高手 玄学 奇人 孤魂野鬼 狐仙 蛇怪 僵尸 妖祟 不断 玄门 奇术 一出 统统 拿下 书友 群 : 553487327 
47194,前世 她 是 叱咤 三界 的 大 反派 结果 死 于 痴心 千年 后 得 轮回 一世 没想到 竟 变成 小弱 鸡 一枚 蠢 │ 萌 的 可爱 倒霉 的 不行 顶个 夜班 都 能 遇到 集体 诈尸 虽 被 高 冷美 男救下 万万 没想到 这才 是 巨坑 的 开始 结 冥婚 斗 厉鬼 被 算计 随时 会 英年早逝 伊兮白 表示 心累 抱紧 高冷 夫君 的 大腿 亲爱 哒 有 坏人 哦 好 怕怕 帝冥殇 扶额 她 不 就是 最坏 的 坏人 么 可下 一秒 板起 脸 极其 护短 抓 起来 打入 第十八层 地狱 ps ＊ 双洁 一对一 
47198,一个 不 知道 名字 不知 从何而来 不知 年岁 的 人 一个 专门调查 神秘 事务 的 特别 调查科 一个 初入 修习 一道 的 职场 菜鸟 一个 喜欢 玩 虫子 仇恨 人类 的 神秘 人 一本 几乎 湮灭 在 历史长河 之中 的 神秘 医书 他们 的 相遇 会 激荡 出 多少 惊心动魄 的 秘密 会 碰撞 出 怎样 的 因缘际会 这 一切 期待 着 你 从 尚不知 他 名姓 一书中 发现 相遇 相知 读者群 QQ 群 665676139 欢迎 进群 交流 
47199,我 叫 姜四是 一只 活尸 有着 人 的 身躯 僵尸 的 心脏 左手 手 背上 还有 一只 饕餮 之眼 专门 以 恶鬼 怨气 妖龙为 食物 二十年 前 我 被 一群 盗墓贼 从 棺材 里 挖出来 从此 走上 了 探阴墓 寻 龙穴 吃 恶鬼 的 一条 不归路 群号 263043306 
47200,我 从小 被 厉鬼 诅咒 命格 变阴 招百鬼 为了 保命 父亲 给 我 找 了 个 不 人 不 鬼 的 媳妇 
47202,尸 穿衣 鬼 吃 人白 犬吠 月 水井 冒血 四大 凶兆 主 天下大乱 妖魔 横生 镇邪 三部曲 的 最后 一部 前 两部 为 镇 邪 笔记 千尸 镇 均 已 完本 老规矩 三万 字 以后 每天 三 更 另外 满 300 钻石 票额 外加 更 1 章满 500 推荐 票额 外加 更 1 章 玉佩 加 更 1 章 皇冠 加 更 10 章 五天 内 完成 这次 老张 是 认真 的 大家 尽管 把 票票 砸过来 吧 
47203,萧飞 在 三岁 的 时候 被 一个 尖嘴猴腮 的 老头 抓到 了 山上 并教 他 修仙 老头 是 孙悟空 变 的 十年 中 教会 了 他 火眼金睛 铜皮 铁骨 大品 修仙 诀 学成 之后 的 萧飞 下山 历练 偶然 进 了 一个 贵族学校 清纯 校花 极品 萝莉 千金 大 小姐 美丽 女仆 都 喜欢 和 他 做 朋友 2 群群 号 263981158 加 了 就 会 成为 大圣 的 徒弟 哦 教 七十二变 
